ref	nazva	rik	arkhiv	fond	opys	sprava	url
adm-makariv-istoriia-2017	«Історія с. Андріївка», сторінка сайту Макарівської районної адміністрації adm-makariv.gov.ua	2017					https://web.archive.org/web/20170228045343/http://adm-makariv.gov.ua/index.php?option=com_content&view=article&id=152
adm-makariv-istoriia-mostyshche	«Історія с. Мостище», сторінка сайту Макарівської районної державної адміністрації adm-makariv.gov.ua (опубліковано 22.04.2011)	2011					https://web.archive.org/web/20170301022108/http://adm-makariv.gov.ua/index.php?option=com_content&view=article&id=237
aiuzr-1-4-1871	Архив Юго-Западной России. Ч. 1, т. 4: Акты объ уніи и состояніи православной церкви съ половины XVII вѣка (1648-1798). Київ, 1871	1871					https://commons.wikimedia.org/wiki/Category:Archive_of_South-West_Russia
aiuzr-3-1-1863	«Архивъ Юго-Западной Россіи». Часть 3, томъ 1: «Акты о козакахъ» (1500-1648). Кіевъ, 1863	1863					https://archive.org/details/aruzr-3-1
aiuzr-3-3-1876	«Архивъ Юго-Западной Россіи». Часть 3, томъ 3: «Акты о гайдамакахъ» (1700-1768). Кіевъ, 1876 (ред. і передмова В. Б. Антоновича)	1876					https://archive.org/details/aruzr3-3
aiuzr-7-3-1905	Архив Юго-Западной России, издаваемый Временною комиссиею для разбора древних актов. Часть VII, том III. Акты о заселеніи Южной Россіи XVI-XVIII в.в. Київ, 1905	1905					https://commons.wikimedia.org/wiki/File:%D0%90%D1%80%D1%85%D0%B8%D0%B2_%D0%AE%D0%B3%D0%BE-%D0%97%D0%B0%D0%BF%D0%B0%D0%B4%D0%BD%D0%BE%D0%B9_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%B8%D0%B7%D0%B4%D0%B0%D0%B2%D0%B0%D0%B5%D0%BC%D1%8B%D0%B9_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D1%8E_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%B5%D1%8E_%D0%B4%D0%BB%D1%8F_%D1%80%D0%B0%D0%B7%D0%B1%D0%BE%D1%80%D0%B0_%D0%B4%D1%80%D0%B5%D0%B2%D0%BD%D0%B8%D1%85_%D0%B0%D0%BA%D1%82%D0%BE%D0%B2_%D0%A7%D0%B0%D1%81%D1%82%D1%8C_7_%D0%A2%D0%BE%D0%BC_3_.pdf
andriivska-rada-hedz	Гедз В. З глибин історії: село Андріївка	2019					http://andriivska.rada.arhiv.org.ua/selo-andriivka-15-06-58-28-02-2019
antonovych-1895	Антонович В. Б. Археологическая карта Кіевской губерніи. Приложеніе къ XV т. «Древностей». Москва, 1895	1895					https://archive.org/details/libgen_00326220
archium-dako	ARCHIUM ДАКО, повнотекстовий пошук по порталу						https://archium.dako.gov.ua/search?q=Козичанка&search_type=digitized
archium-p4373	Первинна організація Компартії України Кодрянського торфопідприємства, Макарівський район	1945-1981	ДАКО	П-4373			https://archium.dako.gov.ua/fonds/7816/
archium-p5060	Первинна організація Компартії України колгоспу «Україна», с. Забуяння	1946-1952	ДАКО	П-5060			https://archium.dako.gov.ua/inventories/11044/
archium-yasnohorodka	ARCHIUM, каталог оцифрованих справ Державного архіву Київської області: фонди, описи й справи з Ясногородкою		ДАКО				https://archium.dako.gov.ua/search?q=Ясногородка&search_type=digitized
arkhivy-ukrainy-1969	«Архіви України», науково-практичний журнал Головархіву УРСР						https://libraria.ua/
arkhivy-ukrainy-1970	«Архіви України», науково-інформаційний бюлетень, 1970, № 2 (1 березня)	1970					https://libraria.ua/issues/1288/103546/
arkhivy-ukrainy-1998	Архіви України, № 1, 1998, с. 169: некролог Онисії Кіндратівни Попової	1998					https://libraria.ua/issues/1288/103672/?PageNumber=169&ArticleId=3470784
armyinform-2023	АрміяInform, репортаж про памʼятник біля церкви в с. Липівка й про Віталія Кайгородова	2023					https://armyinform.com.ua/2023/04/07/na-kyyivshhyni-vstanovyly-pamyatnyk-zagyblym-v-boyu-za-selo-lypivka-bijczyam/
atp-ursr-1947	Українська РСР. Адміністративно-територіальний поділ. Київ, Укрвидав політлітератури, 1947	1947					https://archive.org/details/ukrajinska-rsr-administraryvno--terytorialnyj-podil_1947
atp-ursr-1962	Українська РСР. Адміністративно-територіальний поділ на 1 січня 1962 року. Київ: Держполітвидав УРСР, 1962	1962					https://omeka.nibu.kyiv.ua/s/nibu/item/5709
atp-ursr-1987	Українська РСР. Адміністративно-територіальний устрій на 1 січня 1987 року. Упоряд. П. М. Гринюк, А. Я. Сидорін. Київ: Головна редакція УРЕ, 1987	1987					https://omeka.nibu.kyiv.ua/s/nibu/item/5848
azr-1-1846	Акты, относящіеся къ исторіи Западной Россіи. Т. 1: 1340-1506. СПб., 1846	1846					https://archive.org/details/azr_1
bilshovyk-kyiv	«Більшовик», щоденна газета, Київ	1919-1925					https://libraria.ua/
btsau-istoriia	Білоцерківський національний аграрний університет, «Історія університету»						https://btsau.com.ua/Istoriya-universitetu
buket-gruzke-2001	Букет Є. Історія українського села Грузьке. Київ: Логос, 2001	2001					https://commons.wikimedia.org/wiki/File:Gruzke_History_by_Yevhen_Buket.pdf
buket-kolonshchyna-2008	Букет Є. В. Історія українського села. Колонщина. Вінниця: Теза, 2008	2008					https://commons.wikimedia.org/wiki/File:Kolonshchyna_History_by_Yevhen_Buket.jpg
buket-komarivka-2004	Букет Є. В. Комарівка. Київ: Логос, 2004. 88 с., іл. (Історія українського села)	2004					https://commons.wikimedia.org/wiki/File:Komarivka_History_by_Yevhen_Buket.pdf
buket-koshyts-2024	Букет Є. В. Спадщина братів Кошиців: невідомі сторінки з історії двох сіл на Фастівщині // Всесвіт. 2024. № 1-4. С. 299-305	2024					https://www.vsesvit-journal.com/wp-content/uploads/1-4-2024-buket.pdf
buket-kozychanka-2003	Букет Є. Історія українського села. Козичанка. Київ: Логос, 2003	2003					https://commons.wikimedia.org/wiki/File:Kozychanka_History_by_Yevhen_Buket.pdf
buket-kraieznavstvo-2016	Букет Є. До проблеми датування населених пунктів на території сучасного Макарівського району Київської області // Краєзнавство: науковий журнал. 2016. Ч. 3-4 (96-97). С. 63-75	2016					https://nsku.org.ua/wp-content/uploads/2017/01/%D0%9A%D1%80%D0%B0%D1%94%D0%B7%D0%BD%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D0%BE_%E2%84%9634_2016.pdf
buket-narysy-2006	Ащенко Н. В., Букет Є. В. Нариси з історії Макарівського району. Київ: Логос, 2006	2006					https://commons.wikimedia.org/wiki/File:Narysy_z_istorii_Makarivskoho_raionu.pdf
byshiv-hromada	Бишівська сільська територіальна громада, офіційний сайт						https://byshiv-rada.gov.ua/
cdiak-1164	Метричні книги єврейських громад Київської губернії (Київський рабинат)	1850-1874	ЦДІАК	1164	2		https://uk.wikisource.org/wiki/Архів:ЦДІАК/1164
cdiak-1164-2-4	Метрична книга єврейської громади м-ка Бишів про смерть, 1854 рік	1854	ЦДІАК	1164	2	4	https://commons.wikimedia.org/wiki/File:%D0%A6%D0%94%D0%86%D0%90%D0%9A_1164-2-4._1854._%D0%9C%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%B0_%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0_%D1%94%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D0%B8_%D0%BC-%D0%BA%D0%B0_%D0%91%D0%B8%D1%88%D1%96%D0%B2_%D0%BF%D1%80%D0%BE_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D1%8C.pdf
cdiak-127	Київська духовна консисторія		ЦДІАК	127			https://uk.wikisource.org/wiki/Архів:ЦДІАК/127
