sprava	rik	poriadok	selo	storinka_pdf
280/2/20	1795	1	Слобода Плоска	2
280/2/20	1795	2	хутір Василя Давидового Ніжинського	3
280/2/20	1795	3	хутір Мушанський	5
280/2/20	1795	4	Андріївка	7
280/2/20	1795	5	Литвинівка	11
280/2/20	1795	6	Воронківка	56
280/2/20	1795	7	Завалівка	65
280/2/20	1795	8	Королівка	75
280/2/20	1795	9	Забуяння	100
280/2/20	1795	10	Красногірка	122
280/2/20	1795	11	Плахтянка	129
280/2/20	1795	12	Копилів	150
280/2/20	1795	13	Мотижин	225
280/2/20	1795	14	Єзерщина	308
280/2/20	1795	15	Липівка	327
280/2/20	1795	16	Андріївка (друга)	364
280/2/20	1795	17	Лишня	401
280/2/20	1795	18	Щучинка	404
280/2/20	1795	19	Слобода Плоска (друга)	419
280/2/20	1795	20	Мироцьк	420
280/2/20	1795	21	Микуличі	459
280/2/20	1795	22	Пилиповичі	480
280/2/20	1795	23	Феліціанівка	513
280/2/20	1795	24	Бабинці	525
280/2/20	1795	25	Лубянка	546
280/2/20	1795	26	Буда Бабинська	576
280/2/20	1795	27	Рудня Шибенська	585
280/2/20	1795	28	Рубежівка	593
280/2/20	1795	29	Хмільна	633
280/2/20	1795	30	Забуча	643
280/2/20	1795	31	Жуков хутір	652
280/2/20	1795	32	Гаврилівка	654
280/2/20	1795	33	Бородянка	668
280/2/20	1795	34	Дружня	737
280/2/20	1795	35	Нова Гребля	776
280/2/20	1795	36	Загальці	800
280/2/20	1795	37	Нова Буда	849
280/2/20	1795	38	Качали	856
280/2/20	1795	39	Стара Буда	871
280/2/20	1795	40	Рудня Пісківка	878
280/2/20	1795	41	Липовий Ріг	886
280/2/20	1795	42	Березівка	899
280/2/20	1795	43	Уляники	909
280/2/20	1795	44	Слобода Сирець	937
280/2/20	1795	45	Кагарлик	939
280/2/20	1795	46	Слобода Кагарлицька	1029
280/2/20	1795	47	Гороховатка	1085
280/2/20	1795	48	Тернівка	1116
280/2/20	1795	49	Янівка/Занудівка	1135
280/2/260	1811	1	Демидів	3
280/2/260	1811	2	Раковка	11
280/2/260	1811	3	Вороньковка	19
280/2/260	1811	4	Константинівка	23
280/2/260	1811	5	Дворові люди Миколи Бєрдяєва	28
280/2/260	1811	6	Обухів	31
280/2/260	1811	7	Мирівка	78
280/2/260	1811	8	Стави	117
280/2/260	1811	9	Янівка	136
280/2/260	1811	10	Бендюговка	150
280/2/260	1811	11	Хмільна	170
280/2/260	1811	12	Козинці	186
280/2/260	1811	13	Нещерів	211
280/2/260	1811	14	Гудимівка	222
280/2/260	1811	15	Копачів	238
280/2/260	1811	16	Лубянка	245
280/2/260	1811	17	Гаврилівка	261
280/2/260	1811	18	Філіцианівка	268
280/2/260	1811	19	Шибенська Рудня	275
280/2/260	1811	20	Сирецький хутір	281
280/2/260	1811	21	Михайлівка	288 / 347
280/2/260	1811	22	Рубежівка	299 / 357
280/2/260	1811	23	Забуча	336 / 391
280/2/260	1811	24	Киселівка	343 / 401
280/2/260	1811	25	Ржищів	405
280/2/260	1811	26	Уляники	451
280/2/260	1811	27	Липовий Ріг	471
280/2/260	1811	28	Березівка	488
280/2/260	1811	29	Юзефовка	487
280/2/260	1811	30	Халча	510
280/2/260	1811	31	Панікарча	543
280/2/260	1811	32	Зікрачі	563
280/2/260	1811	33	Гребені	584
280/2/260	1811	34	Юшки	598
280/2/260	1811	35	Воронівка	619
280/2/260	1811	36	Щучинка	625
280/2/260	1811	37	Балики	630
280/2/260	1811	38	Гореничі	646 / 673
280/2/260	1811	39	Ігнатівка	666
280/2/260	1811	40	Шибене	676 / 963
280/2/260	1811	41	Личанка	700 / 722
280/2/260	1811	42	Лука	710 / 725
280/2/260	1811	43	Горбовичі	718
280/2/260	1811	44	Гостомель	729
280/2/260	1811	45	Озера	745
280/2/260	1811	46	Блиставиця	754
280/2/260	1811	47	Бенівка	764
280/2/260	1811	48	Семенівка	768
280/2/260	1811	49	Яблонка	771
280/2/260	1811	50	Карчовка	782
280/2/260	1811	51	Рудня Новоставська	788
280/2/260	1811	52	Козаровичі	819 / 933
280/2/260	1811	53	Ясногородка (село)	877 / 923
280/2/260	1811	54	Глібовка	897 / 949
280/2/260	1811	55	Глібівська Рудня	917 / 941
280/2/260	1811	56	Ясногородка (містечко)	979
280/2/260	1811	57	Богушівка	1005
280/2/260	1811	58	Музичі	1015
280/2/260	1811	59	Княжичі	1033
280/2/260	1811	60	Гусачівка	1045
280/2/260	1811	61	Матяшівка	1121
280/2/260	1811	62	Григорівка	1145
280/2/260	1811	63	Антонівка	1173
280/2/260	1811	64	Лозовик	1217
280/2/260	1811	65	Неграші	1225
280/2/260	1811	66	Макарів	1269
280/2/260	1811	67	Наливайківка	1283
280/2/260	1811	68	Фасовка	1307
280/2/260	1811	69	Забуяни	1315
280/2/260	1811	70	Кодра	1327
280/2/260	1811	71	Буда Поташова	1335
280/2/260	1811	72	Завалівка	1339
280/2/260	1811	73	Гуровщина	1345
280/2/260	1811	74	Шпитьки	1353
280/2/260	1811	75	Петрушки	1357
280/2/260	1811	76	Красний Ріг	1375
280/2/260	1811	77	Казимирівка	1381
280/2/260	1811	78	Щучинка (друга)	1395
280/2/260	1811	79	Абрамовка	1411
280/2/260	1811	80	Гута Абрамовська Маріянівка	1416
280/2/260	1811	81	Липівка	1417
280/2/260	1811	82	Маковище	1431
280/2/260	1811	83	Майданівка	1443
280/2/260	1811	84	Гавронщина	1455
280/2/260	1811	85	Андріївка	1467
280/2/260	1811	86	Єзерщина	1481
280/2/260	1811	87	Голе	1491
280/2/260	1811	88	Королівка	1499
280/2/260	1811	89	Мироцьке	1509
280/2/260	1811	90	Микуличі	1527
280/2/260	1811	91	Пилиповичі	1553
280/2/260	1811	92	Буда Бабинська	1572
280/2/260	1811	93	Бородянка	1579
280/2/260	1811	94	Дружня	1610
280/2/260	1811	95	Вабля	1626
280/2/260	1811	96	Нова Гребля	1627
280/2/260	1811	97	Загальці	1639
280/2/260	1811	98	Кагали	1658
280/2/260	1811	99	Великий Карашин	1671
280/2/260	1811	100	Малий Карашин	1685
280/2/260	1811	101	Красна Слобода	1689
280/2/260	1811	102	Коптіївка	1693
280/2/260	1811	103	Юрів	1697
280/2/260	1811	104	Бабинці	1711
280/2/260	1811	105	Кагарлик	1741
280/2/260	1811	106	Слобода Кагарлицька	1869
280/2/260	1811	107	Гороховатка	1917
280/2/260	1811	108	Тернівка	1941
280/2/260	1811	109	Яновка	1953
280/2/260	1811	110	Шубівка	1977
280/2/260	1811	111	Липовець	2013
280/2/260	1811	112	Бишів	2049
280/2/260	1811	113	Новосілки	2109
280/2/260	1811	114	Грузька	2133
280/2/260	1811	115	Фасова	2177
280/2/260	1811	116	Козичанка	2207
280/2/260	1811	117	Пашківка	2225
280/2/260	1811	118	Лишня	2261
280/2/260	1811	119	Вольшка	2289
280/2/260	1811	120	Мостища	2301
280/2/260	1811	121	Юрівка	2311
280/2/260	1811	122	Соснівка	2323
280/2/260	1811	123	(Г)Оробіївка	2339
280/2/260	1811	124	Леонівка	2353
280/2/260	1811	125	Ястребна	2361
280/2/260	1811	126	Бузова	2373
280/2/260	1811	127	Хутір Бузовський	2385
280/2/260	1811	128	Копилів	2389
280/2/260	1811	129	Мотижин	2427
280/2/260	1811	130	Плахтянка	2495 / 2509
280/2/260	1811	131	Красногірка	2505 / 2517
280/2/260	1811	132	Колонщина	2521
280/2/319	1816	1	Личанка	
280/2/319	1816	2	Горбович	
280/2/319	1816	3	Луки	
280/2/319	1816	4	Глеваха	
280/2/319	1816	5	Обухів	
280/2/319	1816	6	Кожухівка	
280/2/319	1816	7	Колонщина	
280/2/319	1816	8	Дранівка	
280/2/319	1816	9	Данилівка	
280/2/319	1816	10	Забір'я	
280/2/319	1816	11	Крюківщина	
280/2/319	1816	12	Юрівка	
280/2/319	1816	13	Бишів	
280/2/319	1816	14	Княжичі	
280/2/319	1816	15	Лишня	
280/2/319	1816	16	Кагарлик	
280/2/319	1816	17	Шубівка	
280/2/319	1816	18	Тнрновка	
280/2/319	1816	19	Наливайківка	
280/2/319	1816	20	Бабинці	
280/2/319	1816	21	хутір Зорківський	
280/2/319	1816	22	Андріївка	
280/2/319	1816	23	Юрів	
280/2/319	1816	24	Копіївка	
280/2/319	1816	25	Червона Слобода	
280/2/319	1816	26	Карашин	
280/2/319	1816	27	Бородянка	
280/2/319	1816	28	Дружня	
280/2/319	1816	29	Загалець	
280/2/319	1816	30	Нова Буда	
280/2/319	1816	31	Стара Буда	
280/2/319	1816	32	Пилипович	
280/2/319	1816	33	Микулин	
280/2/319	1816	34	Королївка	
280/2/319	1816	35	Єзерщина	
280/2/319	1816	36	Гавронщина	
280/2/319	1816	37	Маковище	
280/2/319	1816	38	Майданівка	
280/2/319	1816	39	Липівка	
280/2/319	1816	40	Абрамівка	
280/2/319	1816	41	Петрушов	
280/2/319	1816	42	Шпитьки	
280/2/319	1816	43	Гурівщина	
280/2/319	1816	44	Макарів	
280/2/319	1816	45	Завалівка	
280/2/319	1816	46	Забуяння	
280/2/319	1816	47	Кодра	
280/2/319	1816	48	Фасовка	
280/2/319	1816	49	Германівка	
280/2/319	1816	50	Лозуватка	
280/2/319	1816	51	Копачів	
280/2/319	1816	52	Григорівка	
280/2/319	1816	53	Гусачівка	
280/2/319	1816	54	Шибене	
280/2/588	1834	1	Димер	селяни | 7
280/2/588	1834	2	Котюжанка	селяни | 43
280/2/588	1834	3	Котюжанська Гута	селяни | 67
280/2/588	1834	4	Семеновка	селяни | 74
280/2/588	1834	5	Нові Петрівці (Межигірська фаянсова фабрика)	селяни | 103
280/2/588	1834	6	Валки (Межигірська фаянсова фабрика)	селяни | 161
280/2/588	1834	7	Межигірська фаянсова фабрика, мастера	селяни | 184
280/2/588	1834	8	хутір Лозовик	селяни | 193
